outcome,weight_class,f1_name,f2_name,winner,loser,method,method_details,end_round,time,total_time
win,Lightweight,johnny case,francisco trevino,johnny case,francisco trevino,U-DEC,,3,5:00,900.0
win,Welterweight,cathal pendred,augusto montano,cathal pendred,augusto montano,U-DEC,,3,5:00,900.0
win,Featherweight,gabriel benitez,clay collard,gabriel benitez,clay collard,U-DEC,,3,5:00,900.0
win,Middleweight,dan henderson,tim boetsch,dan henderson,tim boetsch,KO/TKO,Punch,1,0:28,28.0
win,Heavyweight,ben rothwell,matt mitrione,ben rothwell,matt mitrione,SUB,Guillotine Choke,1,1:54,114.0
win,Lightweight,dustin poirier,yancy medeiros,dustin poirier,yancy medeiros,KO/TKO,Punches,1,2:38,158.0
win,Featherweight,brian ortega,thiago tavares,brian ortega,thiago tavares,KO/TKO,Punch,3,4:10,850.0
win,Bantamweight,anthony birchak,joe soto,anthony birchak,joe soto,KO/TKO,Punch,1,1:37,97.0
win,Bantamweight,francisco rivera,alex caceres,francisco rivera,alex caceres,KO/TKO,Punch,1,0:21,21.0
win,Heavyweight,shawn jordan,derrick lewis,shawn jordan,derrick lewis,KO/TKO,Kick,2,0:48,348.0
win,Welterweight,omari akhmedov,brian ebersole,omari akhmedov,brian ebersole,KO/TKO,,1,5:00,300.0
win,Lightweight,chris wade,christos giagos,chris wade,christos giagos,U-DEC,,3,5:00,900.0
win,Lightweight,joe proctor,justin edwards,joe proctor,justin edwards,SUB,Guillotine Choke,3,4:58,898.0
win,Middleweight,jake collier,ricardo abreu,jake collier,ricardo abreu,S-DEC,,3,5:00,900.0
win,Bantamweight,jose quinonez,leonardo morales,jose quinonez,leonardo morales,SUB,Rear Naked Choke,1,2:34,154.0
win,Middleweight,yoel romero,lyoto machida,yoel romero,lyoto machida,KO/TKO,Elbows,3,1:38,698.0
win,Welterweight,lorenz larkin,santiago ponzinibbio,lorenz larkin,santiago ponzinibbio,KO/TKO,Punches,2,3:07,487.0
win,Middleweight,antonio carlos junior,eddie gordon,antonio carlos junior,eddie gordon,SUB,Rear Naked Choke,3,4:37,877.0
win,Middleweight,thiago santos,steve bosse,thiago santos,steve bosse,KO/TKO,Kick,1,0:29,29.0
win,Featherweight,hacran dias,levan makashvili,hacran dias,levan makashvili,S-DEC,,3,5:00,900.0
win,Welterweight,alex oliveira,joe merritt,alex oliveira,joe merritt,U-DEC,,3,5:00,900.0
win,Welterweight,leandro silva,lewis gonzalez,leandro silva,lewis gonzalez,U-DEC,,3,5:00,900.0
win,Welterweight,tony sims,steve montgomery,tony sims,steve montgomery,KO/TKO,Punch,1,2:43,163.0
